"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SPICEMODEL";"SPICEPREFIX";"SPICETYPE";"SUPPLIER";
"C1";"100uF";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";"107SML016M";"";"99M1145";"";"";"";"";"";"";
"C2";"100uF";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";"107SML016M";"";"99M1145";"";"";"";"";"";"";
"C7";"47nF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"12061C473KAZ1A";"";"26M5748";"";"";"";"";"";"";
"C8";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"0603YC104MAT2A";"";"96M1177";"";"";"";"";"";"";
"C9";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"0603YC104MAT2A";"";"96M1177";"";"";"";"";"";"";
"C10";"18pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"AVX CORPORATION";"06035A180JAT2A";"";"17C6481";"";"";"";"";"";"";
"C11";"18pF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"AVX CORPORATION";"06035A180JAT2A";"";"17C6481";"";"";"";"";"";"";
"C12";"100uF";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";"107SML016M";"";"99M1145";"";"";"";"";"";"";
"C13";"100uF";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";"107SML016M";"";"99M1145";"";"";"";"";"";"";
"C14";"220uF";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";"16SVPF270M";"";"98W0218";"";"";"";"";"";"";
"C15";"100uF";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";"107SML016M";"";"99M1145";"";"";"";"";"";"";
"C16";"4.7uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"C1206C105K3RACTU";"";"03M7475";"";"";"";"";"";"";
"C17";"470uF";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";"107SML016M";"";"99M1145";"";"";"";"";"";"";
"C18";"470uF";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";"107SML016M";"";"99M1145";"";"";"";"";"";"";
"C19";"100uF";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";"107SML016M";"";"99M1145";"";"";"";"";"";"";
"C20";"2.2uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"1206YC225KAT2A";"";"88W4192";"";"";"";"";"";"";
"C21";"1uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"C1206C105K3RACTU";"";"03M7475";"";"";"";"";"";"";
"C22";"4.7uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"C1206C105K3RACTU";"";"03M7475";"";"";"";"";"";"";
"C23";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"CGA4J3X7R1C475K125AB";"";"04X3165";"";"";"";"";"";"";
"C24";"120pF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"CGA4J3X7R1C475K125AB";"";"04X3165";"";"";"";"";"";"";
"C25";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"CGA4J3X7R1C475K125AB";"";"04X3165";"";"";"";"";"";"";
"C26";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"0603YC104MAT2A";"";"96M1177";"";"";"";"";"";"";
"C27";"4.7uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"CGA4J3X7R1C475K125AB";"";"04X3165";"";"";"";"";"";"";
